"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"pheromone bomb"
"03/29/2023 18:42:16:099 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"317","pheromone bomb","3","210","100","360000","548","548"
"331","pheromone bomb","3","240","100","0","449","449"
"333","pheromone bomb","3","240","100","120000","382","382"
"335","pheromone bomb","3","240","100","240000","406","406"
"339","pheromone bomb","3","240","100","480000","365","365"
"334","pheromone bomb","3","240","100","180000","429","429"
"336","pheromone bomb","3","240","100","300000","370","370"
"337","pheromone bomb","3","240","100","360000","427","427"
"338","pheromone bomb","3","240","100","420000","497","497"
"341","pheromone bomb","3","255","100","0","439","439"
"347","pheromone bomb","3","255","100","360000","335","335"
"344","pheromone bomb","3","255","100","180000","440","440"
"340","pheromone bomb","3","240","100","540000","509","509"
"350","pheromone bomb","3","255","100","540000","227","227"
"348","pheromone bomb","3","255","100","420000","416","416"
"342","pheromone bomb","3","255","100","60000","506","506"
"345","pheromone bomb","3","255","100","240000","428","428"
"346","pheromone bomb","3","255","100","300000","444","444"
"343","pheromone bomb","3","255","100","120000","467","467"
"351","pheromone bomb","3","270","100","0","384","384"
"353","pheromone bomb","3","270","100","120000","387","387"
"355","pheromone bomb","3","270","100","240000","304","304"
"349","pheromone bomb","3","255","100","480000","549","549"
"352","pheromone bomb","3","270","100","60000","558","558"
"354","pheromone bomb","3","270","100","180000","412","412"
"360","pheromone bomb","3","270","100","540000","515","515"
"357","pheromone bomb","3","270","100","360000","453","453"
"363","pheromone bomb","3","285","100","120000","310","310"
"358","pheromone bomb","3","270","100","420000","563","563"
"356","pheromone bomb","3","270","100","300000","462","462"
"362","pheromone bomb","3","285","100","60000","412","412"
"359","pheromone bomb","3","270","100","480000","545","545"
"364","pheromone bomb","3","285","100","180000","403","403"
"366","pheromone bomb","3","285","100","300000","428","428"
"369","pheromone bomb","3","285","100","480000","315","315"
"365","pheromone bomb","3","285","100","240000","541","541"
"368","pheromone bomb","3","285","100","420000","487","487"
"370","pheromone bomb","3","285","100","540000","425","425"
"373","pheromone bomb","3","300","100","120000","497","497"
"372","pheromone bomb","3","300","100","60000","435","435"
"367","pheromone bomb","3","285","100","360000","612","612"
"361","pheromone bomb","3","285","100","0","558","558"
"371","pheromone bomb","3","300","100","0","466","466"
"374","pheromone bomb","3","300","100","180000","473","473"
"381","pheromone bomb","5","30","100","0","226","226"
"382","pheromone bomb","5","30","100","60000","270","270"
"379","pheromone bomb","3","300","100","480000","398","398"
"383","pheromone bomb","5","30","100","120000","278","278"
"385","pheromone bomb","5","30","100","240000","272","272"
"384","pheromone bomb","5","30","100","180000","198","198"
"375","pheromone bomb","3","300","100","240000","627","627"
"377","pheromone bomb","3","300","100","360000","544","544"
"387","pheromone bomb","5","30","100","360000","246","246"
"376","pheromone bomb","3","300","100","300000","589","589"
"378","pheromone bomb","3","300","100","420000","514","514"
"386","pheromone bomb","5","30","100","300000","253","253"
"380","pheromone bomb","3","300","100","540000","505","505"
"389","pheromone bomb","5","30","100","480000","253","253"
"388","pheromone bomb","5","30","100","420000","253","253"
"391","pheromone bomb","5","45","100","0","213","213"
"390","pheromone bomb","5","30","100","540000","300","300"
"393","pheromone bomb","5","45","100","120000","232","232"
"395","pheromone bomb","5","45","100","240000","252","252"
"396","pheromone bomb","5","45","100","300000","250","250"
"399","pheromone bomb","5","45","100","480000","277","277"
"400","pheromone bomb","5","45","100","540000","192","192"
"397","pheromone bomb","5","45","100","360000","286","286"
"394","pheromone bomb","5","45","100","180000","320","320"
"401","pheromone bomb","5","60","100","0","279","279"
"402","pheromone bomb","5","60","100","60000","316","316"
"403","pheromone bomb","5","60","100","120000","224","224"
"408","pheromone bomb","5","60","100","420000","239","239"
"407","pheromone bomb","5","60","100","360000","273","273"
"398","pheromone bomb","5","45","100","420000","349","349"
"404","pheromone bomb","5","60","100","180000","289","289"
"406","pheromone bomb","5","60","100","300000","313","313"
"410","pheromone bomb","5","60","100","540000","278","278"
"409","pheromone bomb","5","60","100","480000","302","302"
"405","pheromone bomb","5","60","100","240000","368","368"
"392","pheromone bomb","5","45","100","60000","463","463"
"412","pheromone bomb","5","75","100","60000","241","241"
"415","pheromone bomb","5","75","100","240000","271","271"
"417","pheromone bomb","5","75","100","360000","255","255"
"413","pheromone bomb","5","75","100","120000","323","323"
"414","pheromone bomb","5","75","100","180000","389","389"
"419","pheromone bomb","5","75","100","480000","263","263"
"416","pheromone bomb","5","75","100","300000","295","295"
"420","pheromone bomb","5","75","100","540000","336","336"
"418","pheromone bomb","5","75","100","420000","420","420"
"421","pheromone bomb","5","90","100","0","366","366"
"411","pheromone bomb","5","75","100","0","490","490"
"427","pheromone bomb","5","90","100","360000","311","311"
"423","pheromone bomb","5","90","100","120000","374","374"
