"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"prey chain transfer"
"03/29/2023 21:51:07:531 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"440","prey chain transfer","5","105","100","540000","318","318"
"443","prey chain transfer","5","120","100","120000","336","336"
"442","prey chain transfer","5","120","100","60000","401","401"
"444","prey chain transfer","5","120","100","180000","354","354"
"441","prey chain transfer","5","120","100","0","330","330"
"445","prey chain transfer","5","120","100","240000","297","297"
"446","prey chain transfer","5","120","100","300000","416","416"
"448","prey chain transfer","5","120","100","420000","422","422"
"450","prey chain transfer","5","120","100","540000","438","438"
"453","prey chain transfer","5","135","100","120000","351","351"
"451","prey chain transfer","5","135","100","0","420","420"
"449","prey chain transfer","5","120","100","480000","467","467"
"454","prey chain transfer","5","135","100","180000","423","423"
"447","prey chain transfer","5","120","100","360000","490","490"
"455","prey chain transfer","5","135","100","240000","375","375"
"457","prey chain transfer","5","135","100","360000","434","434"
"452","prey chain transfer","5","135","100","60000","495","495"
"458","prey chain transfer","5","135","100","420000","368","368"
"456","prey chain transfer","5","135","100","300000","373","373"
"459","prey chain transfer","5","135","100","480000","357","357"
"463","prey chain transfer","5","150","100","120000","303","303"
"460","prey chain transfer","5","135","100","540000","379","379"
"461","prey chain transfer","5","150","100","0","415","415"
"468","prey chain transfer","5","150","100","420000","342","342"
"464","prey chain transfer","5","150","100","180000","414","414"
"465","prey chain transfer","5","150","100","240000","391","391"
"466","prey chain transfer","5","150","100","300000","435","435"
"462","prey chain transfer","5","150","100","60000","459","459"
"467","prey chain transfer","5","150","100","360000","400","400"
"469","prey chain transfer","5","150","100","480000","430","430"
"471","prey chain transfer","5","165","100","0","444","444"
"475","prey chain transfer","5","165","100","240000","356","356"
"470","prey chain transfer","5","150","100","540000","348","348"
"472","prey chain transfer","5","165","100","60000","498","498"
"474","prey chain transfer","5","165","100","180000","423","423"
"478","prey chain transfer","5","165","100","420000","372","372"
"476","prey chain transfer","5","165","100","300000","379","379"
"473","prey chain transfer","5","165","100","120000","471","471"
"482","prey chain transfer","5","180","100","60000","306","306"
"479","prey chain transfer","5","165","100","480000","419","419"
"480","prey chain transfer","5","165","100","540000","491","491"
"481","prey chain transfer","5","180","100","0","487","487"
"487","prey chain transfer","5","180","100","360000","378","378"
"485","prey chain transfer","5","180","100","240000","429","429"
"477","prey chain transfer","5","165","100","360000","476","476"
"486","prey chain transfer","5","180","100","300000","399","399"
"488","prey chain transfer","5","180","100","420000","398","398"
"483","prey chain transfer","5","180","100","120000","453","453"
"489","prey chain transfer","5","180","100","480000","399","399"
"490","prey chain transfer","5","180","100","540000","390","390"
"491","prey chain transfer","5","195","100","0","451","451"
"492","prey chain transfer","5","195","100","60000","395","395"
"499","prey chain transfer","5","195","100","480000","348","348"
"498","prey chain transfer","5","195","100","420000","403","403"
"484","prey chain transfer","5","180","100","180000","480","480"
"495","prey chain transfer","5","195","100","240000","432","432"
"493","prey chain transfer","5","195","100","120000","471","471"
"500","prey chain transfer","5","195","100","540000","404","404"
"497","prey chain transfer","5","195","100","360000","449","449"
"494","prey chain transfer","5","195","100","180000","511","511"
