"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"solitary foraging"
"03/29/2023 20:47:07:691 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","salt","[step]","ticks"
"382","solitary foraging","5","30","100","60000","251","251"
"367","solitary foraging","3","285","100","360000","697","697"
"378","solitary foraging","3","300","100","420000","491","491"
"379","solitary foraging","3","300","100","480000","443","443"
"384","solitary foraging","5","30","100","180000","235","235"
"377","solitary foraging","3","300","100","360000","549","549"
"383","solitary foraging","5","30","100","120000","295","295"
"385","solitary foraging","5","30","100","240000","252","252"
"386","solitary foraging","5","30","100","300000","281","281"
"387","solitary foraging","5","30","100","360000","261","261"
"388","solitary foraging","5","30","100","420000","304","304"
"391","solitary foraging","5","45","100","0","239","239"
"390","solitary foraging","5","30","100","540000","263","263"
"375","solitary foraging","3","300","100","240000","617","617"
"380","solitary foraging","3","300","100","540000","467","467"
"389","solitary foraging","5","30","100","480000","256","256"
"393","solitary foraging","5","45","100","120000","268","268"
"395","solitary foraging","5","45","100","240000","301","301"
"392","solitary foraging","5","45","100","60000","368","368"
"394","solitary foraging","5","45","100","180000","383","383"
"397","solitary foraging","5","45","100","360000","343","343"
"396","solitary foraging","5","45","100","300000","320","320"
"400","solitary foraging","5","45","100","540000","194","194"
"399","solitary foraging","5","45","100","480000","263","263"
"404","solitary foraging","5","60","100","180000","285","285"
"403","solitary foraging","5","60","100","120000","238","238"
"406","solitary foraging","5","60","100","300000","286","286"
"398","solitary foraging","5","45","100","420000","350","350"
"405","solitary foraging","5","60","100","240000","352","352"
"407","solitary foraging","5","60","100","360000","277","277"
"408","solitary foraging","5","60","100","420000","263","263"
"401","solitary foraging","5","60","100","0","284","284"
"409","solitary foraging","5","60","100","480000","319","319"
"402","solitary foraging","5","60","100","60000","377","377"
"410","solitary foraging","5","60","100","540000","321","321"
"412","solitary foraging","5","75","100","60000","246","246"
"416","solitary foraging","5","75","100","300000","251","251"
"417","solitary foraging","5","75","100","360000","271","271"
"415","solitary foraging","5","75","100","240000","294","294"
"418","solitary foraging","5","75","100","420000","333","333"
"419","solitary foraging","5","75","100","480000","225","225"
"414","solitary foraging","5","75","100","180000","421","421"
"413","solitary foraging","5","75","100","120000","303","303"
"411","solitary foraging","5","75","100","0","443","443"
"420","solitary foraging","5","75","100","540000","344","344"
"424","solitary foraging","5","90","100","180000","312","312"
"422","solitary foraging","5","90","100","60000","335","335"
"425","solitary foraging","5","90","100","240000","349","349"
"423","solitary foraging","5","90","100","120000","416","416"
"429","solitary foraging","5","90","100","480000","323","323"
"427","solitary foraging","5","90","100","360000","366","366"
"426","solitary foraging","5","90","100","300000","319","319"
"432","solitary foraging","5","105","100","60000","346","346"
"433","solitary foraging","5","105","100","120000","343","343"
"430","solitary foraging","5","90","100","540000","324","324"
"436","solitary foraging","5","105","100","300000","258","258"
